what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1432164785703
started,bundle,org.eclipse.osgi,3.10.0.v20140606-1445,"org.eclipse.osgi",1432164785706
started,bundle,org.eclipse.equinox.simpleconfigurator,1.1.0.v20131217-1203,"org.eclipse.equinox.simpleconfigurator",1432164785707
started,bundle,com.ibm.icu,52.1.0.v201404241930,"com.ibm.icu",1432164785708
started,bundle,org.apache.felix.gogo.command,0.10.0.v201209301215,"org.apache.felix.gogo.command",1432164785709
started,bundle,org.apache.felix.gogo.runtime,0.10.0.v201209301036,"org.apache.felix.gogo.runtime",1432164785709
started,bundle,org.apache.felix.gogo.shell,0.10.0.v201212101605,"org.apache.felix.gogo.shell",1432164785710
started,bundle,org.eclipse.core.contenttype,3.4.200.v20140207-1251,"org.eclipse.core.contenttype",1432164785711
started,bundle,org.eclipse.core.databinding.observable,1.4.1.v20140210-1835,"org.eclipse.core.databinding.observable",1432164785713
started,bundle,org.eclipse.core.expressions,3.4.600.v20140128-0851,"org.eclipse.core.expressions",1432164785714
started,bundle,org.eclipse.core.filebuffers,3.5.400.v20140127-1516,"org.eclipse.core.filebuffers",1432164785715
started,bundle,org.eclipse.core.filesystem,1.4.100.v20140514-1614,"org.eclipse.core.filesystem",1432164785715
started,bundle,org.eclipse.core.jobs,3.6.0.v20140424-0053,"org.eclipse.core.jobs",1432164785732
started,bundle,org.eclipse.core.net,1.2.200.v20140124-2013,"org.eclipse.core.net",1432164785733
started,bundle,org.eclipse.core.resources,3.9.0.v20140514-1307,"org.eclipse.core.resources",1432164785734
started,bundle,org.eclipse.core.runtime,3.10.0.v20140318-2214,"org.eclipse.core.runtime",1432164785736
started,bundle,org.eclipse.core.runtime.compatibility,3.2.200.v20140128-0851,"org.eclipse.core.runtime.compatibility",1432164785737
started,bundle,org.eclipse.debug.core,3.9.0.v20140521-1435,"org.eclipse.debug.core",1432164785738
started,bundle,org.eclipse.e4.core.commands,0.10.2.v20140424-2344,"org.eclipse.e4.core.commands",1432164785740
started,bundle,org.eclipse.e4.core.contexts,1.3.100.v20140407-1019,"org.eclipse.e4.core.contexts",1432164785740
started,bundle,org.eclipse.e4.core.di,1.4.0.v20140414-1837,"org.eclipse.e4.core.di",1432164785742
started,bundle,org.eclipse.e4.core.di.extensions,0.12.0.v20140417-2033,"org.eclipse.e4.core.di.extensions",1432164785743
started,bundle,org.eclipse.e4.core.services,1.2.0.v20140509-1840,"org.eclipse.e4.core.services",1432164785744
started,bundle,org.eclipse.e4.ui.bindings,0.10.200.v20140424-2042,"org.eclipse.e4.ui.bindings",1432164785745
started,bundle,org.eclipse.e4.ui.css.swt,0.11.100.v20140522-1045,"org.eclipse.e4.ui.css.swt",1432164785746
started,bundle,org.eclipse.e4.ui.css.swt.theme,0.9.300.v20140424-2042,"org.eclipse.e4.ui.css.swt.theme",1432164785747
started,bundle,org.eclipse.e4.ui.di,1.0.0.v20140328-2112,"org.eclipse.e4.ui.di",1432164785747
started,bundle,org.eclipse.e4.ui.model.workbench,1.1.0.v20140512-1820,"org.eclipse.e4.ui.model.workbench",1432164785748
started,bundle,org.eclipse.e4.ui.services,1.1.0.v20140328-1925,"org.eclipse.e4.ui.services",1432164785749
started,bundle,org.eclipse.e4.ui.workbench,1.1.0.v20140528-1949,"org.eclipse.e4.ui.workbench",1432164785750
started,bundle,org.eclipse.e4.ui.workbench.addons.swt,1.1.0.v20140602-1537,"org.eclipse.e4.ui.workbench.addons.swt",1432164785751
started,bundle,org.eclipse.e4.ui.workbench.renderers.swt,0.12.0.v20140521-1818,"org.eclipse.e4.ui.workbench.renderers.swt",1432164785752
started,bundle,org.eclipse.e4.ui.workbench.swt,0.12.100.v20140530-1436,"org.eclipse.e4.ui.workbench.swt",1432164785753
started,bundle,org.eclipse.equinox.app,1.3.200.v20130910-1609,"org.eclipse.equinox.app",1432164785754
started,bundle,org.eclipse.equinox.common,3.6.200.v20130402-1505,"org.eclipse.equinox.common",1432164785756
started,bundle,org.eclipse.equinox.console,1.1.0.v20140131-1639,"org.eclipse.equinox.console",1432164785758
started,bundle,org.eclipse.equinox.ds,1.4.200.v20131126-2331,"org.eclipse.equinox.ds",1432164785759
started,bundle,org.eclipse.equinox.event,1.3.100.v20140115-1647,"org.eclipse.equinox.event",1432164785760
started,bundle,org.eclipse.equinox.p2.core,2.3.0.v20131211-1531,"org.eclipse.equinox.p2.core",1432164785760
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.1.0.v20131211-1531,"org.eclipse.equinox.p2.directorywatcher",1432164785762
started,bundle,org.eclipse.equinox.p2.engine,2.3.0.v20140506-1720,"org.eclipse.equinox.p2.engine",1432164785762
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20131115-1210,"org.eclipse.equinox.p2.garbagecollector",1432164785763
started,bundle,org.eclipse.equinox.p2.metadata,2.2.0.v20131211-1531,"org.eclipse.equinox.p2.metadata",1432164785764
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.100.v20131209-2144,"org.eclipse.equinox.p2.metadata.repository",1432164785766
started,bundle,org.eclipse.equinox.p2.operations,2.4.0.v20131119-0908,"org.eclipse.equinox.p2.operations",1432164785767
