what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201402142303,"org.eclipse.cdt.gdb.ui",1432165084152
stopped,bundle,org.eclipse.cdt.dsf.gdb,4.3.0.201402142303,"org.eclipse.cdt.dsf.gdb",1432165084152
stopped,bundle,org.eclipse.linuxtools.rpm.rpmlint,1.0.0.201402102340,"org.eclipse.linuxtools.rpm.rpmlint",1432165084153
stopped,bundle,org.eclipse.linuxtools.rpm.ui,1.1.0.201402102340,"org.eclipse.linuxtools.rpm.ui",1432165084155
stopped,bundle,org.eclipse.linuxtools.rpm.ui.editor,1.2.0.201402102340,"org.eclipse.linuxtools.rpm.ui.editor",1432165084156
stopped,bundle,org.eclipse.linuxtools.rpm.core,2.1.0.201402102340,"org.eclipse.linuxtools.rpm.core",1432165084158
stopped,bundle,org.eclipse.linuxtools.gcov.core,5.0.0.201402102340,"org.eclipse.linuxtools.gcov.core",1432165084159
stopped,bundle,org.eclipse.linuxtools.gprof,5.0.0.201402102340,"org.eclipse.linuxtools.gprof",1432165084160
stopped,bundle,org.eclipse.linuxtools.binutils,4.1.0.201402102340,"org.eclipse.linuxtools.binutils",1432165084161
stopped,bundle,org.eclipse.linuxtools.tools.launch.core,2.0.0.201402102340,"org.eclipse.linuxtools.tools.launch.core",1432165084163
stopped,bundle,org.eclipse.linuxtools.profiling.launch,2.2.0.201402102340,"org.eclipse.linuxtools.profiling.launch",1432165084164
stopped,bundle,org.eclipse.cdt.launch,7.1.0.201402142303,"org.eclipse.cdt.launch",1432165084165
stopped,bundle,org.eclipse.cdt.debug.ui,7.3.0.201402142303,"org.eclipse.cdt.debug.ui",1432165084166
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.1.0.201402142303,"org.eclipse.cdt.build.crossgcc",1432165084167
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,8.2.1.201402142303,"org.eclipse.cdt.managedbuilder.ui",1432165084168
stopped,bundle,org.eclipse.cdt.make.ui,7.2.0.201402142303,"org.eclipse.cdt.make.ui",1432165084168
stopped,bundle,org.eclipse.cdt.mylyn.ui,3.9.2.v20140211-0100,"org.eclipse.cdt.mylyn.ui",1432165084169
stopped,bundle,org.eclipse.linuxtools.cdt.libhover.devhelp,1.0.0.201402102340,"org.eclipse.linuxtools.cdt.libhover.devhelp",1432165084170
stopped,bundle,org.eclipse.linuxtools.cdt.libhover,1.2.0.201402102340,"org.eclipse.linuxtools.cdt.libhover",1432165084170
stopped,bundle,org.eclipse.linuxtools.changelog.core,2.8.0.201402102340,"org.eclipse.linuxtools.changelog.core",1432165084172
stopped,bundle,org.eclipse.linuxtools.dataviewers.annotatedsourceeditor,5.0.0.201402102340,"org.eclipse.linuxtools.dataviewers.annotatedsourceeditor",1432165084173
